,ethereum
2012-09-30,0
2012-10-07,0
2012-10-14,0
2012-10-21,0
2012-10-28,0
2012-11-04,0
2012-11-11,0
2012-11-18,0
2012-11-25,0
2012-12-02,0
2012-12-09,0
2012-12-16,0
2012-12-23,0
2012-12-30,0
2013-01-06,0
2013-01-13,0
2013-01-20,0
2013-01-27,0
2013-02-03,0
2013-02-10,0
2013-02-17,0
2013-02-24,0
2013-03-03,0
2013-03-10,0
2013-03-17,0
2013-03-24,0
2013-03-31,0
2013-04-07,0
2013-04-14,0
2013-04-21,0
2013-04-28,0
2013-05-05,0
2013-05-12,0
2013-05-19,0
2013-05-26,0
2013-06-02,0
2013-06-09,0
2013-06-16,0
2013-06-23,0
2013-06-30,0
2013-07-07,0
2013-07-14,0
2013-07-21,0
2013-07-28,0
2013-08-04,0
2013-08-11,0
2013-08-18,0
2013-08-25,0
2013-09-01,0
2013-09-08,1
2013-09-15,0
2013-09-22,0
2013-09-29,0
2013-10-06,0
2013-10-13,0
2013-10-20,0
2013-10-27,0
2013-11-03,0
2013-11-10,0
2013-11-17,0
2013-11-24,0
2013-12-01,0
2013-12-08,0
2013-12-15,0
2013-12-22,0
2013-12-29,0
2014-01-05,0
2014-01-12,0
2014-01-19,0
2014-01-26,1
2014-02-02,1
2014-02-09,0
2014-02-16,0
2014-02-23,0
2014-03-02,0
2014-03-09,0
2014-03-16,0
2014-03-23,0
2014-03-30,0
2014-04-06,0
2014-04-13,0
2014-04-20,0
2014-04-27,0
2014-05-04,0
2014-05-11,0
2014-05-18,0
2014-05-25,0
2014-06-01,0
2014-06-08,1
2014-06-15,0
2014-06-22,0
2014-06-29,0
2014-07-06,0
2014-07-13,0
2014-07-20,0
2014-07-27,0
2014-08-03,0
2014-08-10,1
2014-08-17,0
2014-08-24,0
2014-08-31,1
2014-09-07,0
2014-09-14,1
2014-09-21,0
2014-09-28,0
2014-10-05,0
2014-10-12,0
2014-10-19,1
2014-10-26,0
2014-11-02,1
2014-11-09,1
2014-11-16,0
2014-11-23,0
2014-11-30,0
2014-12-07,0
2014-12-14,0
2014-12-21,0
2014-12-28,0
2015-01-04,4
2015-01-11,2
2015-01-18,1
2015-01-25,1
2015-02-01,0
2015-02-08,0
2015-02-15,1
2015-02-22,1
2015-03-01,3
2015-03-08,1
2015-03-15,1
2015-03-22,0
2015-03-29,0
2015-04-05,0
2015-04-12,0
2015-04-19,1
2015-04-26,2
2015-05-03,0
2015-05-10,1
2015-05-17,1
2015-05-24,1
2015-05-31,0
2015-06-07,1
2015-06-14,0
2015-06-21,0
2015-06-28,0
2015-07-05,1
2015-07-12,1
2015-07-19,1
2015-07-26,2
2015-08-02,4
2015-08-09,2
2015-08-16,2
2015-08-23,1
2015-08-30,1
2015-09-06,2
2015-09-13,1
2015-09-20,1
2015-09-27,1
2015-10-04,0
2015-10-11,0
2015-10-18,0
2015-10-25,2
2015-11-01,3
2015-11-08,3
2015-11-15,0
2015-11-22,1
2015-11-29,2
2015-12-06,1
2015-12-13,0
2015-12-20,1
2015-12-27,2
2016-01-03,0
2016-01-10,4
2016-01-17,1
2016-01-24,3
2016-01-31,5
2016-02-07,2
2016-02-14,3
2016-02-21,1
2016-02-28,5
2016-03-06,4
2016-03-13,11
2016-03-20,7
2016-03-27,8
2016-04-03,8
2016-04-10,7
2016-04-17,3
2016-04-24,7
2016-05-01,5
2016-05-08,6
2016-05-15,8
2016-05-22,11
2016-05-29,7
2016-06-05,5
2016-06-12,9
2016-06-19,10
2016-06-26,10
2016-07-03,8
2016-07-10,6
2016-07-17,6
2016-07-24,8
2016-07-31,6
2016-08-07,4
2016-08-14,5
2016-08-21,7
2016-08-28,3
2016-09-04,7
2016-09-11,5
2016-09-18,5
2016-09-25,6
2016-10-02,7
2016-10-09,4
2016-10-16,5
2016-10-23,2
2016-10-30,3
2016-11-06,5
2016-11-13,3
2016-11-20,7
2016-11-27,4
2016-12-04,7
2016-12-11,2
2016-12-18,4
2016-12-25,3
2017-01-01,6
2017-01-08,5
2017-01-15,7
2017-01-22,7
2017-01-29,5
2017-02-05,6
2017-02-12,6
2017-02-19,5
2017-02-26,12
2017-03-05,10
2017-03-12,28
2017-03-19,12
2017-03-26,15
2017-04-02,16
2017-04-09,13
2017-04-16,15
2017-04-23,19
2017-04-30,29
2017-05-07,23
2017-05-14,24
2017-05-21,100
2017-05-28,62
2017-06-04,45
2017-06-11,94
2017-06-18,65
2017-06-25,78
2017-07-02,37
2017-07-09,42
2017-07-16,39
2017-07-23,24
2017-07-30,27
2017-08-06,25
2017-08-13,30
2017-08-20,30
2017-08-27,33
2017-09-03,31
2017-09-10,30
2017-09-17,31
2017-09-24,17
